service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
TAL_JOUA_K6_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_K6_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K6_2015,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K6_2015_Y,0,0,0,0,1,0,0,20141226,20141226
TAL_JOUA_K24_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_K24_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K24_2015,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K24_2015_Y,0,0,0,0,1,0,0,20141226,20141226
TAL_AR_K26_2015,1,1,1,1,1,0,0,20141110,20150531
TAL_AR_K26_2015_Y,0,1,1,1,1,1,0,20141111,20150601
TAL_LA_K26_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K26_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_K26_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K26_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_JOUA_K5_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_K5_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K5_2015,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K5_2015_Y,0,0,0,0,1,0,0,20141226,20141226
TAL_JOUA_K2_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_K2_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K2_2015,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K2_2015_Y,0,0,0,0,1,0,0,20141226,20141226
TAL_JOUA_K8_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_K8_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K8_2015,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K8_2015_Y,0,0,0,0,1,0,0,20141226,20141226
TAL_JOUA_K23_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_K23_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K23_2015,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K23_2015_Y,0,0,0,0,1,0,0,20141226,20141226
TAL_ARKI_K1_2015,1,1,1,1,1,0,0,20141110,20150531
TAL_ARKI_K1_2015_Y,0,1,1,1,1,1,0,20141111,20150601
TAL_JOUA_K1_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_K1_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K1_2015,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K1_2015_Y,0,0,0,0,1,0,0,20141226,20141226
TAL_LA_K1_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K1_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_K1_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K1_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_AR_K25_2015,1,1,1,1,1,0,0,20141110,20150531
TAL_AR_K25_2015_Y,0,1,1,1,1,1,0,20141111,20150601
TAL_ER_PY_K19_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_ER_PY_K19_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_MATO_K27_2015,1,1,1,1,0,0,0,20141110,20150531
TAL_MATO_K27_2015_Y,0,1,1,1,1,0,0,20141111,20150601
TAL_PE_K27_2015,0,0,0,0,1,0,0,20141110,20150531
TAL_PE_K27_2015_Y,0,0,0,0,0,1,0,20141111,20150601
TAL_LA_K27_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K27_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_K27_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K27_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_JOUA_K27_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_K27_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K27_2015,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K27_2015_Y,0,0,0,0,1,0,0,20141226,20141226
TAL_MATO_MUUT_2015,1,1,1,1,0,0,0,20141110,20150531
TAL_MATO_MUUT_2015_Y,0,1,1,1,1,0,0,20141111,20150601
TAL_PE_MUUT_2015,0,0,0,0,1,0,0,20141110,20150531
TAL_PE_MUUT_2015_Y,0,0,0,0,0,1,0,20141111,20150601
TAL_LA_MUUT_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_MUUT_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_MUUT_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_MUUT_2015_Y,1,0,0,0,0,0,0,20141111,20150601
tal_tkl_mato_2015,1,1,1,1,0,0,0,20141110,20150531
tal_tkl_mato_2015_Y,0,1,1,1,1,0,0,20141111,20150601
tal_tkl_pe_2015,0,0,0,0,1,0,0,20141110,20150531
tal_tkl_pe_2015_Y,0,0,0,0,0,1,0,20141111,20150601
TAL_ER_PY_K18_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_ER_PY_K18_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_JOUA_K18_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_K18_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_LA_K25_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K25_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_K25_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K25_2015_Y,1,0,0,0,0,0,0,20141111,20150601
