stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
8763,8763,Väinäntie,61.45828,23.45005,C
8764,8764,Kohmala,61.45652,23.44339,D
8765,8765,Kohmala,61.45636,23.44357,D
8766,8766,Kennolantie,61.45466,23.42958,D
8767,8767,Kennolantie,61.45486,23.43164,D
8768,8768,Pihlajamäentie,61.45501,23.42040,D
8769,8769,Pihlajamäentie,61.45476,23.42142,D
8770,8770,Taivalkunta,61.45566,23.41078,D
8771,8771,Taivalkunta,61.45541,23.41108,D
8772,8772,Alastalontie,61.45752,23.40092,D
8773,8773,Alastalontie,61.45734,23.40042,D
8774,8774,Helamäki,61.45699,23.38964,D
8775,8775,Helamäki,61.45675,23.38964,D
8776,8776,Vehkoperä,61.45566,23.37668,D
8777,8777,Vehkoperä,61.45544,23.37676,D
8778,8778,Kontaa,61.45168,23.34625,D
8779,8779,Kontaa,61.45143,23.34639,D
8780,8780,Santamäen th,61.44445,23.32870,D
8781,8781,Santamäen th,61.44444,23.32901,D
8782,8782,Ruolahti,61.45139,23.27661,D
8783,8783,Ruolahti,61.45136,23.27592,D
8784,8784,Suoniemi,61.44125,23.21552,D
8785,8785,Suoniemi,61.44136,23.21592,D
8786,8786,Vahalahden koulu,61.41862,23.25575,D
8787,8787,Vahalahden koulu,61.41826,23.25591,D
8788,8788,Sarkola,61.41030,23.25836,D
8789,8789,Sarkola,61.41021,23.25822,D
8791,8791,Tolppa th,61.40548,23.28474,D
8793,8793,Levontie,61.41661,23.32021,D
8795,8795,Tottijärvi th,61.42401,23.34097,D
8797,8797,Kattilainen,61.45722,23.48443,C
8802,8802,Sammalistontie,61.44016,23.46626,C
8804,8804,Rajatie,61.43801,23.46313,C
8805,8805,Rajatie,61.43807,23.46382,C
8806,8806,Naulonlahdentie,61.43503,23.46009,C
8807,8807,Naulonlahdentie,61.43569,23.46090,C
8808,8808,Ketteenniementie,61.43020,23.45492,C
8809,8809,Ketteenniementie,61.43032,23.45577,C
8810,8810,Loukko,61.42717,23.44999,D
8811,8811,Loukko,61.42801,23.45115,D
8812,8812,Murtoonvuori,61.42420,23.44793,D
8813,8813,Murtoonvuori,61.42424,23.44828,D
8814,8814,Sorva,61.42170,23.44270,D
8815,8815,Sorva,61.42159,23.44463,D
8816,8816,Metsä-Tuomaalantie,61.42554,23.41762,D
8817,8817,Metsä-Tuomaalantie,61.42578,23.41649,D
8818,8818,Susitaipale,61.42674,23.39594,D
8819,8819,Susitaipale,61.42643,23.39483,D
8820,8820,Lamminperä,61.42682,23.36504,D
8821,8821,Lamminperä,61.42705,23.36676,D
8822,8822,Yli-Marttila,61.42115,23.33968,D
8823,8823,Yli-Marttila,61.42130,23.34015,D
8824,8824,Ali-Marttila,61.41815,23.33637,D
8825,8825,Ali-Marttila,61.41932,23.33822,D
8826,8826,Naskalintie,61.41204,23.33484,D
8827,8827,Naskalintie,61.41259,23.33513,D
8828,8828,Tolppa,61.40569,23.33590,D
8829,8829,Tolppa,61.40647,23.33557,D
8831,8831,Tottijärvi,61.40073,23.34312,D
9001,9001,Marjaniemen th ,61.54896,24.64331,E
9002,9002,Koivumäen th ,61.54873,24.64367,E
9003,9003,Järvenpääntien th ,61.54782,24.60141,E
9004,9004,Järvenpääntie th ,61.54771,24.60173,E
9005,9005,Eräpyhätien th ,61.56670,24.56015,E
9006,9006,Eräjärven koulu ,61.57260,24.56428,E
9007,9007,Eräjärven koulu ,61.57255,24.56396,E
9008,9008,Eräjärven kirkko ,61.57706,24.56366,E
9100,9100,Pohtiolammi ,61.45224,24.11866,C
9101,9101,Pohtiolammi L,61.45242,24.11953,C
9102,9102,Vääksyn kartano,61.45362,24.12777,C
9103,9103,Vääksyn kartano L,61.45341,24.12559,C
9104,9104,Teerimäentie ,61.45558,24.13873,C
9105,9105,Teerimäentie L,61.45545,24.13694,C
9106,9106,Nuorto,61.45723,24.14794,C
9107,9107,Nuorto L,61.45677,24.14450,C
9108,9108,Kerppolan puistotie,61.45976,24.16077,C
