route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
83,KES_AR_2019_K33,5839524915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839814915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839534915,Matkatie,1,83011,1440261616101,0
29B,KES_AR_2019_K34,5841824923,Linnainmaa,1,29011,1434215925126,0
29A,KES_AR_2019_K34,5841104923,Keskustori C,0,29011,1433151260035,0
29A,KES_AR_2019_K34,5855834923,Pitkäniemi,0,29011,1433100358710,0
29A,KES_AR_2019_K34,5841474923,Linnainmaa,1,29011,1433287105126,0
29A,KES_AR_2019_K34,5841144923,Pitkäniemi,0,29011,1433151268710,0
29A,KES_AR_2019_K34,5841514923,Linnainmaa,1,29011,1433287105126,0
29A,KES_AR_2019_K34,5841194923,Pitkäniemi,0,29011,1433151268710,0
29A,KES_AR_2019_K34,5841564923,Linnainmaa,1,29011,1433287105126,0
29A,KES_AR_2019_K34,5841234923,Pitkäniemi,0,29011,1433151268710,0
29A,KES_AR_2019_K34,5841604923,Linnainmaa,1,29011,1433287105126,0
29A,KES_AR_2019_K34,5841294923,Pitkäniemi,0,29011,1433151268710,0
29A,KES_AR_2019_K34,5841664923,Linnainmaa,1,29011,1433287105126,0
29A,KES_AR_2019_K34,5841334923,Pitkäniemi,0,29011,1433151268710,0
29A,KES_AR_2019_K34,5841454923,Keskustori G,1,29021,1433287100011,0
29A,KES_AR_2019_K34,5855844923,Linnainmaa,1,29021,1433200115126,0
29A,KES_AR_2019_K34,5841124923,Pitkäniemi,0,29021,1433151268710,0
29A,KES_AR_2019_K34,5841494923,Linnainmaa,1,29021,1433287105126,0
29A,KES_AR_2019_K34,5841174923,Pitkäniemi,0,29021,1433151268710,0
29A,KES_AR_2019_K34,5841544923,Linnainmaa,1,29021,1433287105126,0
29A,KES_AR_2019_K34,5841214923,Pitkäniemi,0,29021,1433151268710,0
29A,KES_AR_2019_K34,5841584923,Linnainmaa,1,29021,1433287105126,0
29A,KES_AR_2019_K34,5841254923,Pitkäniemi,0,29021,1433151268710,0
29A,KES_AR_2019_K34,5841624923,Linnainmaa,1,29021,1433287105126,0
29A,KES_AR_2019_K34,5841304923,Pitkäniemi,0,29021,1433151268710,0
29A,KES_AR_2019_K34,5841674923,Linnainmaa,1,29021,1433287105126,0
29A,KES_AR_2019_K34,5841344923,Pitkäniemi,0,29021,1433151268710,0
29A,KES_AR_2019_K34,5841714923,Linnainmaa,1,29021,1433287105126,0
29A,KES_AR_2019_K34,5841384923,Pitkäniemi,0,29021,1433151268710,0
29A,KES_AR_2019_K34,5841754923,Linnainmaa,1,29021,1433287105126,0
29A,KES_AR_2019_K34,5841424923,Pitkäniemi,0,29021,1433151268710,0
29A,KES_AR_2019_K34,5841794923,Linnainmaa,1,29021,1433287105126,0
29A,KES_AR_2019_K34,5841814923,Pitkäniemi,0,29021,1433151268710,0
29A,KES_AR_2019_K34,5841464923,Linnainmaa,1,29031,1433287105126,0
29A,KES_AR_2019_K34,5841134923,Pitkäniemi,0,29031,1433151268710,0
29A,KES_AR_2019_K34,5841504923,Linnainmaa,1,29031,1433287105126,0
29A,KES_AR_2019_K34,5841184923,Pitkäniemi,0,29031,1433151268710,0
29A,KES_AR_2019_K34,5841554923,Linnainmaa,1,29031,1433287105126,0
29A,KES_AR_2019_K34,5841224923,Pitkäniemi,0,29031,1433151268710,0
29A,KES_AR_2019_K34,5841594923,Linnainmaa,1,29031,1433287105126,0
29A,KES_AR_2019_K34,5841264923,Pitkäniemi,0,29031,1433151268710,0
29A,KES_AR_2019_K34,5841634923,Linnainmaa,1,29031,1433287105126,0
29B,KES_AR_2019_K34,5866604923,Kalkku,0,29031,1434151261592,0
29A,KES_AR_2019_K34,5841684923,Linnainmaa,1,29031,1433287105126,0
29A,KES_AR_2019_K34,5841354923,Pitkäniemi,0,29031,1433151268710,0
29A,KES_AR_2019_K34,5841724923,Linnainmaa,1,29031,1433287105126,0
29A,KES_AR_2019_K34,5841394923,Pitkäniemi,0,29031,1433151268710,0
29A,KES_AR_2019_K34,5841764923,Linnainmaa,1,29031,1433287105126,0
29A,KES_AR_2019_K34,5841434923,Pitkäniemi,0,29031,1433151268710,0
29A,KES_AR_2019_K34,5841114923,Pitkäniemi,0,29041,1433151268710,0
29A,KES_AR_2019_K34,5841484923,Linnainmaa,1,29041,1433287105126,0
29A,KES_AR_2019_K34,5841164923,Pitkäniemi,0,29041,1433151268710,0
29A,KES_AR_2019_K34,5841534923,Linnainmaa,1,29041,1433287105126,0
29A,KES_AR_2019_K34,5841274923,Pitkäniemi,0,29041,1433151268710,0
29A,KES_AR_2019_K34,5841644923,Linnainmaa,1,29041,1433287105126,0
29A,KES_AR_2019_K34,5841314923,Pitkäniemi,0,29041,1433151268710,0
29A,KES_AR_2019_K34,5841694923,Linnainmaa,1,29041,1433287105126,0
29A,KES_AR_2019_K34,5841364923,Pitkäniemi,0,29041,1433151268710,0
29A,KES_AR_2019_K34,5841734923,Linnainmaa,1,29041,1433287105126,0
29A,KES_AR_2019_K34,5841404923,Pitkäniemi,0,29041,1433151268710,0
29A,KES_AR_2019_K34,5841774923,Linnainmaa,1,29041,1433287105126,0
29A,KES_AR_2019_K34,5841444923,Pitkäniemi,0,29041,1433151268710,0
29A,KES_AR_2019_K34,5841804923,Linnainmaa,1,29041,1433287105126,0
29A,KES_AR_2019_K34,5841154923,Pitkäniemi,0,29051,1433151268710,0
